"%@ %@" = "%@ %@";
"%lld samples" = "%lld samples";
"🎉 You have subscribed to the membership." = "🎉 Anda telah berlangganan keanggotaan.";
"Click me" = "Klik saya";
"IELTScream" = "IELTScream";
"For you" = "Rekomendasi untuk Anda";
"Appearance" = "ダークモード";
"Enjoy member-exclusive features such as \"Customized Oral Training Materials\" and \"Full Topic High Score Model Essays\"." = "Nikmati fitur eksklusif bagi anggota seperti \"Bahan Latihan Lisan yang Dapat Disesuaikan\" dan \"Esai Model Skor Tinggi Topik Lengkap\".";
"Priority access to all new features" = "Harap gunakan semua fitur baru sebagai prioritas";
"40% Off" = "Diskon 40%";
"Membership successfully subscribed 🎉May you quickly achieve excellent grades." = "Keberhasilan berlangganan anggota 🎉. Semoga Anda segera mendapatkan hasil yang baik.";
"HelloWelcome to" = "Halo, Selamat datang";
"Are you sure want to quit?" = "Anda yakin ingin keluar?";
"You haven't bookmarked any topic cards yet." = "Anda belum menyimpan kartu topik apa pun.";
"You haven't practiced yet." = "Anda belum berlatih.";
"You haven't practiced any topics yet." = "Anda belum berlatih tentang topik apa pun.";
"Help" = "Menggunakan Bantuan";
"Free Trial" = "Coba gratis";
"Delete" = "Hapus";
"Delete Account" = "Hapus akun";
"After deleting your account, all exercises and collection records will be deleted and cannot be recovered. Are you sure you want to delete it?" = "Setelah menghapus akun, semua latihan dan catatan koleksi akan dihapus dan tidak dapat dipulihkan. Anda yakin ingin menghapusnya?";
"Join IELTScream membership to enjoy exclusive features such as \"customized speaking training materials\" and \"complete access to high-scoring topic essays.\"" = "Gabung sebagai anggota IELTScream, nikmati fitur eksklusif untuk anggota seperti \"Materi Pelatihan Pembicaraan Kustom\" dan \"Esai Skor Tinggi Topik Lengkap\".";
"Feedback" = "Saran Masukan";
"Explore" = "Menemukan";
"Cancel" = "Batal";
"Answer questions" = "Jawab pertanyaan";
"Basics" = "Pengaturan Dasar";
"Okey" = "Silakan masuk untuk menggunakan aplikasi.";
"Start 7 days free trial" = "Mulai percobaan gratis selama 7 hari";
"Practice now" = "Mulai berlatih";
"Subscribe" = "Mulai berlangganan";
"Restore" = "Pulihkan pembelian";
"Me" = "milik saya";
"My practices" = "Latihan saya";
"Like" = "Favorit";
"Liked cue cards" = "Simpan kartu topik";
"Organize your content and materials into a top-scoring sample essay that meets the IELTS speaking standards, with accurate grammar, rich vocabulary, and authentic expression." = "Mengatur materi dan konten Anda, membuat esai berkualitas tinggi yang sesuai dengan standar ujian lisan IELTS, bebas kesalahan tata bahasa, beragam kosakata, dan lancar dalam menyampaikan.";
"Lauguage" = "Bahasa tampilan";
"The AI assistant will help you organize your spoken essay." = "Asisten pintar membantu Anda mengatur naskah pidato";
"No sample essays available." = "Untuk sementara tidak ada contoh teks.";
"More samples" = "Lebih banyak contoh";
"Support" = "Dukungan layanan";
"Limit each answer to 50 characters." = "Batasi setiap jawaban menjadi 50 karakter.";
"Light" = "Warna terang";
"Explore all high-band score speaking example essays." = "Silakan jelajahi semua contoh lisan berperingkat tinggi";
"Dark" = "Mode Gelap";
"Generate your own sample essays." = "Buat contoh sendiri";
"Generate" = "Harap atur tanggal lahir Anda.";
"Terms of Use" = "Perjanjian Pengguna";
"Alright, I want to delete." = "Konfirmasi, saya mau menghapus";
"Alright, I want to exit." = "Ya, saya ingin keluar";
"Are you sure you want to delete this sample essay?" = "Anda yakin ingin menghapus esai sampel ini?";
"System" = "Sistem";
"Practice" = "Latihan";
"Review" = "Beri ulasan baik";
"Subscribe" = "Berlangganan anggota";
"Get high brand with IELTScream Membership." = "Berlangganan sebagai anggota. Berlatih IELTS Speaking lebih efisien";
"Subscribing a membership, to view all high-band score sample essays." = "Setelah berlangganan sebagai anggota, Anda dapat melihat semua contoh esai berperingkat tinggi";
"Settings" = "Pengaturan";
"Topics" = "Topik";
"Cue Card" = "Kartu Topik";
"Please input content" = "Silakan masukkan konten";
"This is definitely the most efficient method to practice IELTS speaking." = "Ini adalah metode latihan berbicara IELTS yang paling efektif.";
"Logout" = "Keluar dari akun";
"By answering some simple questions, we can assist you in organizing and generating your own sample essay." = "Dengan menjawab beberapa pertanyaan sederhana, membantu Anda mengatur dan menghasilkan contoh teks Anda sendiri.";
"Privacy Policy" = "Kebijakan Privasi";
"Haptic Feedback" = "Umpan balik getaran";
"Predicted topics" = "Jangan tutup aplikasi, pembaruan sedang berlangsung.";
