"%@ %@" = "%@ %@";
"%lld samples" = "%lld samples";
"🎉 You have subscribed to the membership." = "🎉 会員登録が完了しました。";
"Click me" = "クリックしてください";
"IELTScream" = "IELTScream";
"For you" = "あなたにおすすめ";
"Appearance" = "カラースタイル";
"Enjoy member-exclusive features such as \"Customized Oral Training Materials\" and \"Full Topic High Score Model Essays\"." = "\"カスタムオーラルトレーニング素材\"や\"完全なトピック高得点モデルエッセイ\"などの会員専用機能をお楽しみください。";
"Priority access to all new features" = "すべての新機能を優先して使用してください";
"40% Off" = "40％割引";
"Membership successfully subscribed 🎉May you quickly achieve excellent grades." = "メンバーサブスクリプション成功🎉。早く良い結果が得られることを願っています。";
"HelloWelcome to" = "こんにちは、ようこそ";
"Are you sure want to quit?" = "本当にログアウトしますか？";
"You haven't bookmarked any topic cards yet." = "まだトピックカードをブックマークしていません。";
"You haven't practiced yet." = "あなたはまだ練習していません。";
"You haven't practiced any topics yet." = "まだどんなトピックも練習していません。";
"Help" = "ヘルプの使用";
"Free Trial" = "無料トライアル";
"Delete" = "削除";
"Delete Account" = "アカウントを削除";
"After deleting your account, all exercises and collection records will be deleted and cannot be recovered. Are you sure you want to delete it?" = "アカウントを削除すると、すべての練習とコレクションの記録が削除され、回復することはできません。本当に削除しますか？";
"Join IELTScream membership to enjoy exclusive features such as \"customized speaking training materials\" and \"complete access to high-scoring topic essays.\"" = "IELTScreamのメンバーに参加し、「カスタムスピーキングトレーニング素材」や「完全な話題の高得点エッセイ」などのメンバー専用機能をお楽しみください。";
"Feedback" = "フィードバック提案";
"Explore" = "発見";
"Cancel" = "キャンセル";
"Answer questions" = "質問に答える";
"Basics" = "基本設定";
"Okey" = "アプリを使用するためにログインしてください。";
"Start 7 days free trial" = "7日間の無料試用を開始してください";
"Practice now" = "開始練習";
"Subscribe" = "good";
"Restore" = "購入を復元";
"Me" = "私の";
"My practices" = "私の練習";
"Like" = "お気に入り";
"Liked cue cards" = "トピックカードを保存";
"Organize your content and materials into a top-scoring sample essay that meets the IELTS speaking standards, with accurate grammar, rich vocabulary, and authentic expression." = "あなたの素材とコンテンツを整理し、IELTS口頭試験の基準に合った高品質なサンプル文を作り出します。文法が正確で、語彙が豊富で、表現が流暢です。";
"Lauguage" = "表示言語";
"The AI assistant will help you organize your spoken essay." = "知能アシスタントがあなたのスピーチを整理します";
"No sample essays available." = "一時的に范文はありません。";
"More samples" = "さらに多くのサンプル";
"Support" = "サービスサポート";
"Limit each answer to 50 characters." = "回答は50文字以内に制限してください。";
"Light" = "ライトカラー";
"Explore all high-band score speaking example essays." = "すべての高得点スピーチの例文を閲覧してください";
"Dark" = "ダークモード";
"Generate your own sample essays." = "自分の例文を作成してください";
"Generate" = "あなたの生年月日を設定してください。";
"Terms of Use" = "利用者契約";
"Alright, I want to delete." = "確認、私は削除します";
"Alright, I want to exit." = "はい、終了します";
"Are you sure you want to delete this sample essay?" = "この模範論文を削除してもよろしいですか？";
"System" = "システム";
"Practice" = "練習";
"Review" = "良い評価をください";
"Subscribe" = "サブスクリプションメンバー";
"Get high brand with IELTScream Membership." = "メンバーに登録する。より効果的なIELTSスピーキングの練習";
"Subscribing a membership, to view all high-band score sample essays." = "会員にサブスクライブすると、すべての高得点の見本を見ることができます";
"Settings" = "設定";
"Topics" = "トピック";
"Cue Card" = "トピックカード";
"Please input content" = "内容を入力してください";
"This is definitely the most efficient method to practice IELTS speaking." = "これは間違いなく最も効果的なIELTSスピーキングの練習方法です。";
"Logout" = "ログアウト";
"By answering some simple questions, we can assist you in organizing and generating your own sample essay." = "簡単な質問に答えることで、あなた自身の例文を組織し生成します。";
"Privacy Policy" = "プライバシーポリシー";
"Haptic Feedback" = "振動フィードバック";
"Predicted topics" = "アプリを閉じないでください、更新が進行中です。";
