"%@ %@" = "%@ %@";
"%lld samples" = "%lld samples";
"🎉 You have subscribed to the membership." = "🎉 회원으로 구독하셨습니다.";
"Click me" = "나를 클릭하십시오";
"IELTScream" = "IELTScream";
"For you" = "당신을 위한 추천";
"Appearance" = "다크 모드";
"Enjoy member-exclusive features such as \"Customized Oral Training Materials\" and \"Full Topic High Score Model Essays\"." = "\"맞춤형 구두 훈련 자료\"와 \"완전한 주제의 고득점 모델 에세이\"등의 회원 전용 기능을 즐기세요.";
"Priority access to all new features" = "모든 새로운 기능을 우선적으로 사용하십시오";
"40% Off" = "40% 할인";
"Membership successfully subscribed 🎉May you quickly achieve excellent grades." = "멤버 구독 성공 🎉. 빠른 성과를 바랍니다.";
"HelloWelcome to" = "안녕하세요. 환영합니다。";
"Are you sure want to quit?" = "정말 로그아웃 하시겠습니까?";
"You haven't bookmarked any topic cards yet." = "아직 어떤 주제 카드도 북마크하지 않으셨습니다.";
"You haven't practiced yet." = "아직 연습하지 않았습니다.";
"You haven't practiced any topics yet." = "아직 어떠한 주제도 연습하지 않았습니다.";
"Help" = "도움말 사용";
"Free Trial" = "무료 체험";
"Delete" = "삭제";
"Delete Account" = "계정 삭제";
"After deleting your account, all exercises and collection records will be deleted and cannot be recovered. Are you sure you want to delete it?" = "계정을 삭제하면 모든 연습 및 수집 레코드가 삭제되고 복구할 수 없습니다. 정말 삭제하시겠습니까?";
"Join IELTScream membership to enjoy exclusive features such as \"customized speaking training materials\" and \"complete access to high-scoring topic essays.\"" = "IELTScream 회원에 가입하고, '맞춤화된 말하기 훈련 자료' 및 '완전한 주제의 고득점 에세이' 등 회원 전용 기능을 누려보세요.";
"Feedback" = "피드백 제안";
"Explore" = "발견";
"Cancel" = "취소";
"Answer questions" = "질문에 답하다";
"Basics" = "기본 설정";
"Okey" = "앱을 사용하려면 로그인하세요.";
"Start 7 days free trial" = "7일 무료 체험 시작";
"Practice now" = "연습 시작";
"Subscribe" = "구독 시작";
"Restore" = "구매 복원";
"Me" = "나의";
"My practices" = "나의 연습";
"Like" = "즐겨 찾기";
"Liked cue cards" = "주제 카드를 저장하다";
"Organize your content and materials into a top-scoring sample essay that meets the IELTS speaking standards, with accurate grammar, rich vocabulary, and authentic expression." = "당신의 자료와 내용을 정리하여 IELTS 구두 시험 표준에 맞는 고품질의 샘플 에세이를 작성합니다. 문법이 맞고, 어휘가 다양하며, 표현이 원활합니다.";
"Lauguage" = "표시 언어";
"The AI assistant will help you organize your spoken essay." = "스마트 어시스턴트가 당신의 말하기 원고를 정리해드립니다";
"No sample essays available." = "일시적으로 예문이 없습니다.";
"More samples" = "더 많은 예시";
"Support" = "서비스 지원";
"Limit each answer to 50 characters." = "각 답변은 50자 이내로 제한해주세요.";
"Light" = "라이트 컬러";
"Explore all high-band score speaking example essays." = "모든 고득점 구어 샘플을 둘러보세요";
"Dark" = "다크 모드";
"Generate your own sample essays." = "자신의 예문을 작성하십시오";
"Generate" = "당신의 생일을 설정해 주세요.";
"Terms of Use" = "사용자 계약";
"Alright, I want to delete." = "확인, 삭제하겠습니다";
"Alright, I want to exit." = "네, 나가고 싶습니다";
"Are you sure you want to delete this sample essay?" = "이 예시 에세이를 삭제하시겠습니까?";
"System" = "시스템";
"Practice" = "연습";
"Review" = "긍정적인 리뷰를 남겨주세요";
"Subscribe" = "구독 회원";
"Get high brand with IELTScream Membership." = "회원 구독하십시오. 보다 효율적으로 IELTS 스피킹 연습";
"Subscribing a membership, to view all high-band score sample essays." = "회원 구독 후, 모든 고득점 에세이를 볼 수 있습니다";
"Settings" = "설정";
"Topics" = "주제";
"Cue Card" = "주제 카드";
"Please input content" = "내용을 입력하세요";
"This is definitely the most efficient method to practice IELTS speaking." = "이것은 확실히 가장 효과적인 IELTS 스피킹 연습 방법입니다.";
"Logout" = "로그아웃";
"By answering some simple questions, we can assist you in organizing and generating your own sample essay." = "간단한 질문에 답하여 귀하의 예문을 구성하고 생성합니다.";
"Privacy Policy" = "개인정보 처리방침";
"Haptic Feedback" = "진동 피드백";
"Predicted topics" = "앱을 닫지 마세요, 업데이트가 진행 중입니다.";
