"%@ %@" = "%@ %@";
"%lld samples" = "%lld samples";
"🎉 You have subscribed to the membership." = "🎉 Bạn đã đăng ký thành viên.";
"Click me" = "Nhấn vào tôi";
"IELTScream" = "IELTScream";
"For you" = "Giới thiệu cho bạn";
"Appearance" = "Chế độ tối";
"Enjoy member-exclusive features such as \"Customized Oral Training Materials\" and \"Full Topic High Score Model Essays\"." = "Hưởng các tính năng";
"Priority access to all new features" = "Ưu tiên sử dụng tất cả các tính năng phiên bản mới";
"40% Off" = "Giảm giá 40%";
"Membership successfully subscribed 🎉\nMay you quickly achieve excellent grades." = "Đăng ký thành công thành viên 🎉. Chúc bạn nhanh chóng đạt được kết quả tốt.";
"Hello\nWelcome to" = "Xin chào.\n Chào mừng đến với";
"Are you sure want to quit?" = "Bạn chắc chắn muốn thoát không?";
"You haven't bookmarked any topic cards yet." = "Bạn chưa đánh dấu bất kỳ thẻ chủ đề nào.";
"You haven't practiced yet." = "Bạn chưa thực hành.";
"You haven't practiced any topics yet." = "Bạn chưa thực hành bất kỳ chủ đề nào.";
"Help" = "Hướng dẫn sử dụng";
"Free Trial" = "Dùng thử miễn phí";
"Delete" = "Xóa";
"Delete Account" = "Xóa tài khoản";
"After deleting your account, all exercises and collection records will be deleted and cannot be recovered. Are you sure you want to delete it?" = "Sau khi xóa tài khoản, tất cả các bài tập và hồ s";
"Join IELTScream membership to enjoy exclusive features such as \"customized speaking training materials\" and \"complete access to high-scoring topic essays.\"" = "Tham gia thành viên IELTScream và trải nghiệm các chức năng độc quyền như \"Tài liệu luyện nói được tùy chỉnh\" và \"Bài viết mẫu điểm cao với đủ chủ đề\".";
"Feedback" = "Gợi ý phản hồi";
"Explore" = "Khám phá";
"Cancel" = "Hủy bỏ";
"Answer questions" = "Ngôn ngữ: xxx";
"Basics" = "Cài đặt cơ bản";
"Okey" = "Vui lòng đăng nhập để sử dụng ứng dụng.";
"Start 7 days free trial" = "Bắt đầu dùng thử miễn phí 7 ngày";
"Practice now" = "Bắt đầu luyện tập";
"Subscribe" = "Bắt đầu đăng ký";
"Restore" = "Khôi phục mua hàng";
"Me" = "Của tôi";
"My practices" = "Bài tập của tôi";
"Like" = "Lưu lại";
"Liked cue cards" = "Thêm vào danh sách yêu thích chủ đề";
"Organize your content and materials into a top-scoring sample essay that meets the IELTS speaking standards, with accurate grammar, rich vocabulary, and authentic expression." = "Xếp tổ chức và nội dung của bạn cùng nhau để xây dựng một bài viết mẫu chất lượng cao theo tiêu chuẩn kiểm tra nói IELTS, với ngữ pháp chính xác, từ vựng đa dạng và diễn đạt mượt mà.";
"Lauguage" = "Ngôn ngữ hiển thị:";
"The AI assistant will help you organize your spoken essay." = "Trợ lý thông minh giúp bạn tổ chức các bài viết thực hành nói";
"No sample essays available." = "暂时没有样本。";
"More samples" = "Thêm nhiều";
"Support" = "Hỗ trợ dịch vụ";
"Limit each answer to 50 characters." = "Hãy giới hạn mỗi câu trả lời dưới 50 ký tự.";
"Light" = "Ánh sáng";
"Explore all high-band score speaking example essays." = "Duyệt tất cả các bài viết tham khảo về giao tiếp cao cấp";
"Dark" = "Chế độ tối";
"Generate your own sample essays." = "Tạo lập ứng dụng của riêng bạn";
"Generate" = "Xin chào thành viên mới: Chúng tôi rất vui mừng được chào đón bạn đến với ứng dụng của chúng tôi. Bắt đầu trải nghiệm ngay bây giờ!";
"Terms of Use" = "Hợp đồng người dùng";
"Alright, I want to delete." = "Xác nhận xóa";
"Alright, I want to exit." = "Xác nhận, tôi muốn thoát";
"Are you sure you want to delete this sample essay?" = "Bạn có chắc muốn xóa bài viết này không?";
"System" = "Hệ thống";
"Practice" = "Bài tập";
"Review" = "Đánh giá tốt cho ứng dụng";
"Subscribe" = "Đăng ký thành viên";
"Get high brand with IELTScream Membership." = "Đăng ký thành viên. Luyện nói IELTS hiệu quả hơn";
"Subscribing a membership, to view all high-band score sample essays." = "Sau khi đăng ký thành viên, bạn có thể xem tất cả bài viết mẫu điểm cao.";
"Settings" = "Cài đặt";
"Topics" = "Chủ đề";
"Cue Card" = "Chủ đề";
"Please input content" = "Vui lòng nhập nội dung";
"This is definitely the most efficient method to practice IELTS speaking." = "Đây chắc chắn là phương pháp hiệu quả nhất để luyện nói tiếng Anh cho kỳ thi IELTS.";
"Logout" = "Đăng xuất";
"By answering some simple questions, we can assist you in organizing and generating your own sample essay." = "Trả lời một số câu hỏi đơn giản để tạo và tổ chức bài viết của riêng bạn: xx语: xxx";
"Privacy Policy" = "Chính sách bảo mật";
"Haptic Feedback" = "Phản hồi rung";
"Predicted topics" = "Dự đoán câu hỏi";
